date,location,daily_vaccinations_raw,daily_vaccinations,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_per_million,share_doses_used
2021-01-12,Alabama,NA,NA,78134,377025,70861,0.15,1.59,7270,1.44,7.69,NA,0.207
2021-01-13,Alabama,5906,5906,84040,378975,74792,0.19,1.71,9245,1.52,7.73,1205,0.222
2021-01-14,Alabama,8260,7083,92300,435350,80480,NA,1.88,NA,1.64,8.88,1445,0.212
2021-01-15,Alabama,8267,7478,100567,444650,86956,0.27,2.05,13488,1.77,9.07,1525,0.226
2021-01-16,Alabama,7557,7498,NA,NA,NA,NA,NA,NA,NA,NA,1529,NA
2021-01-17,Alabama,7557,7509,NA,NA,NA,NA,NA,NA,NA,NA,1531,NA
2021-01-18,Alabama,7557,7517,NA,NA,NA,NA,NA,NA,NA,NA,1533,NA
2021-01-19,Alabama,7557,7523,130795,444650,114319,0.33,2.67,16346,2.33,9.07,1534,0.294
2021-01-20,Alabama,8405,7880,139200,483275,121113,0.37,2.84,17956,2.47,9.86,1607,0.288
2021-01-21,Alabama,26719,10517,165919,493125,144429,0.43,3.38,21345,2.95,10.06,2145,0.336
2021-01-22,Alabama,33395,14107,199314,519525,174317,0.51,4.06,24840,3.56,10.6,2877,0.384
2021-01-23,Alabama,22226,16202,221540,521225,193955,0.56,4.52,27422,3.96,10.63,3304,0.425
2021-01-24,Alabama,22197,18294,243737,521225,213833,0.61,4.97,29736,4.36,10.63,3731,0.468
2021-01-25,Alabama,6875,18196,250612,521225,220464,0.61,5.11,29978,4.5,10.63,3711,0.481
2021-01-26,Alabama,4347,17738,254959,569000,223854,0.63,5.2,30933,4.57,11.6,3618,0.448
2021-01-27,Alabama,11485,18178,266444,634000,232633,0.68,5.43,33595,4.74,12.93,3707,0.42
2021-01-28,Alabama,12549,16153,278993,655275,241337,0.76,5.69,37431,4.92,13.36,3294,0.426
2021-01-29,Alabama,21922,14514,300915,659400,256601,0.9,6.14,44073,5.23,13.45,2960,0.456
2021-01-30,Alabama,41521,17271,342436,659400,288368,1.1,6.98,53742,5.88,13.45,3522,0.519
2021-01-31,Alabama,11538,15748,353974,659400,298301,1.13,7.22,55331,6.08,13.45,3212,0.537
2021-02-01,Alabama,4306,15381,358280,659400,301628,1.15,7.31,56308,6.15,13.45,3137,0.543
2021-02-02,Alabama,13602,16703,371882,680550,312711,1.2,7.58,58825,6.38,13.88,3407,0.546
2021-02-03,Alabama,16457,17414,388339,765150,324998,1.28,7.92,62990,6.63,15.6,3552,0.508
2021-02-04,Alabama,20089,18491,408428,799675,338845,1.41,8.33,69155,6.91,16.31,3771,0.511
2021-02-05,Alabama,22169,18526,430597,799875,353522,1.56,8.78,76603,7.21,16.31,3778,0.538
2021-02-06,Alabama,24576,16105,455173,804100,370275,1.72,9.28,84278,7.55,16.4,3285,0.566
2021-02-07,Alabama,7159,15480,462332,804100,375567,1.76,9.43,86141,7.66,16.4,3157,0.575
2021-02-08,Alabama,5304,15622,467636,804100,378514,1.8,9.54,88453,7.72,16.4,3186,0.582
2021-02-09,Alabama,23333,17012,490969,823600,395196,1.94,10.01,95033,8.06,16.8,3470,0.596
2021-02-10,Alabama,24833,18209,515802,861175,412462,2.09,10.52,102520,8.41,17.56,3714,0.599
2021-02-11,Alabama,27435,19258,543237,911875,431259,2.26,11.08,111036,8.8,18.6,3928,0.596
2021-02-12,Alabama,27878,20074,571115,936200,448071,2.49,11.65,122019,9.14,19.09,4094,0.61
2021-02-13,Alabama,30044,20855,601159,963600,467032,2.71,12.26,133029,9.52,19.65,4253,0.624
2021-02-14,Alabama,11095,21417,612254,965550,474065,2.8,12.49,137032,9.67,19.69,4368,0.634
2021-02-15,Alabama,12214,22405,NA,NA,NA,NA,NA,NA,NA,NA,4569,NA
2021-02-16,Alabama,12214,20816,636682,1015775,486206,3.04,12.98,149288,9.92,20.72,4245,0.627
2021-02-17,Alabama,13338,19174,650020,1032175,494424,3.15,13.26,154341,10.08,21.05,3911,0.63
2021-02-18,Alabama,22018,18400,672038,1032175,505660,3.37,13.71,165104,10.31,21.05,3753,0.651
2021-02-19,Alabama,67094,24002,739132,1077600,545431,3.92,15.08,192304,11.12,21.98,4895,0.686
2021-02-20,Alabama,37804,25111,776936,1078800,560968,4.38,15.85,214512,11.44,22,5121,0.72
2021-02-21,Alabama,11677,25194,788613,1082100,567505,4.48,16.08,219639,11.57,22.07,5138,0.729
2021-02-22,Alabama,5001,24164,793614,1082100,570355,4.52,16.19,221785,11.63,22.07,4928,0.733
2021-02-23,Alabama,21494,25489,815108,1084440,580477,4.75,16.62,233073,11.84,22.12,5198,0.752
2021-02-24,Alabama,24595,27098,839703,1138650,591009,5.04,17.13,247024,12.05,23.22,5527,0.737
2021-02-25,Alabama,25054,27531,864757,1170120,601343,5.34,17.64,261689,12.26,23.86,5615,0.739
2021-02-26,Alabama,29102,22104,893859,1380380,613097,5.69,18.23,278985,12.5,28.15,4508,0.648
2021-02-27,Alabama,37231,22022,931090,1402180,628583,6.13,18.99,300548,12.82,28.6,4491,0.664
2021-02-28,Alabama,11412,21984,942502,1402280,634792,6.24,19.22,305731,12.95,28.6,4484,0.672
2021-03-01,Alabama,5891,22111,948393,1402280,637989,6.29,19.34,308416,13.01,28.6,4510,0.676
2021-03-02,Alabama,23768,22436,972161,1461320,647752,6.57,19.83,322346,13.21,29.8,4576,0.665
2021-03-03,Alabama,27870,22904,1000031,1469100,658906,6.91,20.4,338967,13.44,29.96,4671,0.681
2021-03-04,Alabama,32140,23916,1032171,1530470,672546,7.29,21.05,357384,13.72,31.21,4878,0.674
2021-03-05,Alabama,32407,24388,1064578,1556460,687445,7.64,21.71,374826,14.02,31.74,4974,0.684
2021-03-06,Alabama,35119,24087,1099697,1628350,703725,8.03,22.43,393619,14.35,33.21,4913,0.675
2021-03-07,Alabama,10435,23947,1110132,1628350,709736,8.12,22.64,398035,14.48,33.21,4884,0.682
2021-01-12,Alaska,NA,NA,35838,141600,22486,0.74,4.9,5400,3.07,19.36,NA,0.253
2021-01-13,Alaska,2842,2842,38680,149475,24541,0.84,5.29,6166,3.36,20.43,3885,0.259
2021-01-14,Alaska,3916,3379,42596,150450,35508,NA,5.82,NA,4.85,20.57,4619,0.283
2021-01-15,Alaska,6443,4400,49039,150450,39546,1.29,6.7,9406,5.41,20.57,6015,0.326
2021-01-16,Alaska,4323,4381,NA,NA,NA,NA,NA,NA,NA,NA,5989,NA
2021-01-17,Alaska,4323,4369,NA,NA,NA,NA,NA,NA,NA,NA,5972,NA
2021-01-18,Alaska,4323,4362,NA,NA,NA,NA,NA,NA,NA,NA,5963,NA
2021-01-19,Alaska,4323,4356,66331,150450,55434,1.48,9.07,10802,7.58,20.57,5955,0.441
2021-01-20,Alaska,1962,4230,68293,150350,56911,1.54,9.34,11283,7.78,20.55,5782,0.454
2021-01-21,Alaska,3614,4187,71907,154325,59449,1.69,9.83,12352,8.13,21.1,5724,0.466
2021-01-22,Alaska,9189,4580,81096,155500,67262,1.88,11.09,13718,9.2,21.26,6261,0.522
2021-01-23,Alaska,7248,4997,88344,155700,73014,2.08,12.08,15206,9.98,21.28,6831,0.567
2021-01-24,Alaska,5913,5225,94257,155700,77925,2.22,12.88,16201,10.65,21.28,7142,0.605
2021-01-25,Alaska,2774,5003,97031,155700,80226,2.28,13.26,16673,10.97,21.28,6839,0.623
2021-01-26,Alaska,1118,4545,98149,162925,81200,2.3,13.42,16815,11.1,22.27,6213,0.602
2021-01-27,Alaska,3448,4758,101597,170575,83363,2.47,13.89,18097,11.4,23.32,6504,0.596
2021-01-28,Alaska,4261,4850,105858,178075,85672,2.74,14.47,20045,11.71,24.34,6630,0.594
